resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1,18,1,1,22,1,1,1,1,10,58,34:50.6,5690616,39,2,01:27.5,218.3,1
3,18,3,3,7,7,3,3,3,6,58,8.163,5698779,41,5,01:28.1,216.719,1
4,18,4,4,5,11,4,4,4,5,58,17.181,5707797,58,7,01:28.6,215.464,1
23,19,8,6,1,2,1,1,1,10,56,31:18.6,5478555,37,2,01:35.4,209.158,1
27,19,1,1,22,9,5,5,5,4,56,46.548,5525103,53,3,01:35.5,209.033,1
30,19,4,4,5,7,8,8,8,1,56,+1:10.041,5548596,40,10,01:36.3,207.24,1
32,19,18,11,16,11,10,10,10,0,56,+1:26.214,5564769,56,4,01:35.7,208.481,1
33,19,12,4,6,13,11,11,11,0,56,+1:32.202,5570757,52,15,01:37.0,205.812,1
46,20,8,6,1,4,2,2,2,8,57,3.339,5470309,35,4,01:33.7,207.911,1
52,20,3,3,7,8,8,8,8,1,57,55.889,5522859,57,6,01:34.1,207.109,1
54,20,4,4,5,10,10,10,10,0,57,+1:17.181,5544151,35,13,01:35.2,204.668,1
67,21,8,6,1,1,1,1,1,10,66,38:19.1,5899051,46,1,01:21.7,205.191,1
69,21,1,1,22,5,3,3,3,6,66,4.187,5903238,20,3,01:22.0,204.323,1
72,21,18,11,16,13,6,6,6,3,66,53.01,5952061,66,5,01:22.4,203.489,1
90,22,1,1,22,3,2,2,2,8,58,3.779,5213230,31,2,01:26.5,222.085,1
91,22,8,6,1,4,3,3,3,6,58,4.271,5213722,20,1,01:26.5,222.144,1
94,22,4,4,5,7,6,6,6,3,58,53.724,5263175,57,6,01:27.3,220.174,1
96,22,3,3,7,11,8,8,8,1,58,+1:11.406,5280857,55,9,01:27.8,218.882,1
109,23,1,1,22,3,1,1,1,10,76,00:42.7,7242742,71,6,01:18.5,153.152,1
113,23,20,5,15,19,5,5,5,4,76,24.657,7267399,74,7,01:18.8,152.614,1
117,23,8,6,1,2,9,9,9,0,76,33.792,7276534,74,1,01:16.7,156.789,1
136,24,20,5,15,19,8,8,8,1,70,54.12,5838347,33,12,01:18.5,199.913,1
138,24,3,3,7,5,10,10,10,0,70,54.749,5838976,14,5,01:18.0,201.336,1
139,24,18,11,16,20,11,11,11,0,70,+1:07.540,5851767,58,19,01:19.4,197.847,1
150,25,8,6,1,1,2,2,2,8,70,17.984,5528229,16,1,01:16.6,207.224,1
155,25,12,4,6,9,7,7,7,2,70,41.033,5551278,24,10,01:17.8,204.218,1
156,25,4,4,5,3,8,8,8,1,70,43.372,5553617,39,8,01:17.6,204.525,1
158,25,1,1,22,13,10,10,10,0,70,54.538,5564783,40,5,01:17.5,205.022,1
160,25,20,5,15,12,12,12,12,0,70,58.065,5568310,36,11,01:17.8,204.212,1
169,26,1,1,22,4,1,1,1,10,60,39:09.4,5949440,16,3,01:32.8,199.398,1
189,27,1,1,22,1,1,1,1,10,67,31:20.9,5480874,17,2,01:16.0,216.552,1
190,27,12,4,6,17,2,2,2,8,67,5.586,5486460,66,9,01:16.9,214.099,1
194,27,8,6,1,6,6,6,6,3,67,14.403,5495277,66,3,01:16.3,215.692,1
196,27,20,5,15,9,8,8,8,1,67,33.299,5514173,20,8,01:16.8,214.484,1
198,27,3,3,7,13,10,10,10,0,67,37.625,5518499,34,15,01:17.4,212.799,1
199,27,4,4,5,5,11,11,11,0,67,38.6,5519474,17,13,01:17.1,213.53,1
211,28,8,6,1,6,3,3,3,6,70,16.856,5863923,61,1,01:21.2,194.243,1
212,28,4,4,5,7,4,4,4,5,70,21.614,5868681,47,8,01:21.8,192.823,1
213,28,1,1,22,1,5,5,5,4,70,23.048,5870115,15,3,01:21.5,193.533,1
214,28,12,4,6,10,6,6,6,3,70,32.298,5879365,64,4,01:21.5,193.428,1
230,29,1,1,22,2,2,2,2,8,57,5.611,5737950,16,2,01:38.9,197.285,1
234,29,20,5,15,6,6,6,6,3,57,52.625,5784964,36,6,01:39.5,196.093,1
236,29,3,3,7,9,8,8,8,1,57,+1:11.457,5803796,35,10,01:39.6,195.912,1
239,29,12,4,6,15,11,11,11,0,57,+1:32.717,5825056,29,9,01:39.5,195.977,1
251,30,1,1,22,1,3,3,3,6,44,10.539,4989933,20,2,01:48.1,233.175,1
252,30,4,4,5,6,4,4,4,5,44,14.478,4993872,25,9,01:49.2,230.82,1
253,30,20,5,15,10,5,5,5,4,44,14.576,4993970,16,8,01:49.1,231.142,1
269,31,20,5,15,1,1,1,1,10,53,26:47.5,5207494,53,14,01:30.5,230.414,1
272,31,4,4,5,8,4,4,4,5,53,23.903,5231397,51,9,01:30.0,231.82,1
275,31,1,1,22,15,7,7,7,2,53,29.912,5237406,52,5,01:29.7,232.44,1
277,31,8,6,1,14,9,9,9,0,53,39.468,5246962,53,1,01:28.0,236.859,1
278,31,12,4,6,17,10,10,10,0,53,54.445,5261939,53,16,01:30.9,229.38,1
282,31,3,3,7,5,14,14,14,0,53,+1:08.635,5276129,53,10,01:30.0,231.671,1
283,31,18,11,16,19,15,15,15,0,53,+1:13.370,5280864,52,7,01:29.8,232.166,1
289,32,4,4,5,15,1,1,1,10,61,57:16.3,7036304,55,3,01:45.8,172.464,1
290,32,3,3,7,8,2,2,2,8,61,2.957,7039261,39,5,01:46.5,171.352,1
291,32,1,1,22,2,3,3,3,6,61,5.917,7042221,14,4,01:46.1,171.969,1
293,32,20,5,15,6,5,5,5,4,61,10.268,7046572,13,9,01:47.3,170.047,1
297,32,18,11,16,12,9,9,9,0,61,19.885,7056189,61,15,01:48.1,168.7,1
309,33,4,4,5,4,1,1,1,10,67,30:21.9,5421892,41,3,01:19.1,207.668,1
311,33,8,6,1,2,3,3,3,6,67,6.4,5428292,66,2,01:19.0,207.947,1
312,33,12,4,6,12,4,4,4,5,67,20.57,5442462,54,4,01:19.2,207.411,1
314,33,20,5,15,9,6,6,6,3,67,39.207,5461099,21,12,01:19.6,206.322,1
319,33,3,3,7,15,11,11,11,0,67,+1:02.096,5483988,66,10,01:19.5,206.545,1
320,33,1,1,22,1,12,12,12,0,67,+1:18.900,5500792,65,11,01:19.6,206.47,1
329,34,1,1,22,1,1,1,1,10,56,31:57.4,5517403,13,1,01:36.3,203.722,1
331,34,8,6,1,2,3,3,3,6,56,16.445,5533848,14,2,01:36.5,203.389,1
332,34,4,4,5,4,4,4,4,5,56,18.37,5535773,56,5,01:36.7,203.018,1
336,34,12,4,6,10,8,8,8,1,56,56.645,5574048,56,8,01:37.0,202.313,1
337,34,20,5,15,6,9,9,9,0,56,+1:04.339,5581742,55,9,01:37.2,201.863,1
350,35,4,4,5,6,2,2,2,8,71,13.298,5664733,39,8,01:14.2,208.98,1
351,35,8,6,1,3,3,3,3,6,71,16.235,5667670,59,3,01:14.1,209.296,1
352,35,20,5,15,7,4,4,4,5,71,38.011,5689446,25,7,01:14.2,209.022,1
353,35,1,1,22,4,5,5,5,4,71,38.907,5690342,31,4,01:14.2,209.177,1
369,36,8,6,6,1,1,1,1,10,58,25:28.8,5128770,41,1,01:25.2,223.978,1
370,36,4,1,1,2,2,2,2,8,58,7.242,5136012,20,2,01:26.3,221.178,1
371,36,1,1,2,4,3,3,3,6,58,18.595,5147365,20,3,01:26.4,221.083,1
391,37,4,1,1,2,1,1,1,10,56,32:14.9,5534930,42,2,01:36.9,206.014,1
392,37,1,1,2,4,2,2,2,8,56,17.557,5552487,22,1,01:36.7,206.355,1
393,37,8,6,6,3,3,3,3,6,56,18.339,5553269,40,4,01:37.2,205.237,1
414,38,1,1,2,2,2,2,2,8,57,2.36,5609875,18,2,01:34.3,206.674,1
415,38,8,6,6,3,3,3,3,6,57,10.839,5618354,39,3,01:34.4,206.483,1
417,38,4,1,1,4,5,5,5,4,57,14.426,5621941,46,4,01:34.4,206.346,1
422,38,3,3,16,10,10,10,10,0,57,+1:29.916,5697431,51,11,01:35.6,203.893,1
436,39,1,1,2,4,2,2,2,8,65,6.79,5503020,20,2,01:22.9,202.205,1
437,39,4,1,1,2,3,3,3,6,65,17.456,5513686,17,3,01:23.0,201.986,1
440,39,3,3,16,11,6,6,6,3,65,59.538,5555768,60,10,01:23.7,200.231,1
457,40,4,1,1,1,1,1,1,10,78,40:29.3,6029329,44,1,01:15.3,159.715,1
458,40,1,1,2,2,2,2,2,8,78,4.095,6033424,28,2,01:15.4,159.528,1
